product_code,product_name,product_family,product_category,status,candidate_code,candidate_name,candidate_score,candidate_has_recipe_flag,candidate_bom_count,erp_insumo_id,erp_insumo_nombre,erp_preparation_recipe_exists,search_terms
417-1154,Juego Penies Para Glaseado Wilton,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
2105-9961,KIT PASTEL AJEDREZ 3 NMOLDES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896112705,LENTEJUELAS DORADAS,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896158635,LENTEJUELAS PLATEADA,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
0179,Letrero Chispas Felicidades,Velas,Pillines,MISSING_IN_POINT,,,,False,,,,False,
0180,Letrero Chispas Feliz Cumpleaños,Velas,Pillines,POSSIBLE_MATCH_REQUIRES_REVIEW,01800,Pay de Queso Horneado Grande,34.04,True,2,432,Pay de Queso Horneado Grande,False,0180
0177,Letrero Chispas HB 1,Velas,Pillines,MISSING_IN_POINT,,,,False,,,,False,
0505,Letrero Graduado Congrats,Velas,Letreros,MISSING_IN_POINT,,,,False,,,,False,
070896080233,LEVANTADOR DE PASTELES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
415-0165,NIVELADOR DE PASTEL 10 BLANCO/MORADO,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
0106,Pastel de 3 Leches Rebanada,Pastel,Rebanada,MISSING_IN_POINT,,,,False,,,,False,
0110,Pastel de 3 Pecados R,Pastel,Rebanada,MISSING_IN_POINT,,,,False,,,,False,
0063,Pastel de Crunch R,Pastel,Rebanada,MISSING_IN_POINT,,,,False,,,,False,
0103,Pastel de Fresas Con Crema R,Pastel,Rebanada,MISSING_IN_POINT,0103,GOMA XANTANA 1 KG,40.69,False,0,,,False,0103
0058,Pastel de Snickers Rebanada,Pastel,Rebanada,MISSING_IN_POINT,,,,False,,,,False,
0068,Pastel de Zanahoria R,Pastel,Rebanada,MISSING_IN_POINT,50327008,COCO RALLADO P/PASTEL ZANAHORIA,21.62,False,0,,,False,pastel zanahoria
0007,Pay de Plátano Rebanada,Pay,Rebanada,MISSING_IN_POINT,31201512,CINTA TRANSPARENTE,17.65,False,0,,,False,0007
0003,Pay de Queso Rebanada,Pay,Rebanada,POSSIBLE_MATCH_REQUIRES_REVIEW,01801,Pay de Queso Horneado Mediano,78.05,True,2,456,Pay de Queso Horneado Mediano,False,pay queso
070896411730,PERLA DECORATIVA DORADA 135 GR,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896411747,PERLA DECORATIVA PLATEADA 135 GR,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
0170,Pirotecnia Alegría Ch,Velas,Alegría,MISSING_IN_POINT,,,,False,,,,False,
0169,Pirotecnia Alegría G,Velas,Alegría,MISSING_IN_POINT,,,,False,,,,False,
8446PO,Platos Solidos Oro,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
8446PR,Platos Solidos Rosa,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
2103-434,PROBADOR DE PASTELES MORADO,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896400710,REJILLA PARA ENFRIAR,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
0303,Servicio Domicilio 1,Accesorios,Otros postres,MISSING_IN_POINT,,,,False,,,,False,
0304,Servicio Domicilio 2,Accesorios,Otros postres,MISSING_IN_POINT,,,,False,,,,False,
0305,Servicio Domicilio 3,Accesorios,Otros postres,MISSING_IN_POINT,,,,False,,,,False,
7102SO,Servilletas Coctel Oro,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
7102SR,Servilletas Coctel Rosa,Accesorios,Granmark,MISSING_IN_POINT,,,,False,,,,False,
2104-7857,SET DE 19 PZAS DECORACION FLORES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896449160,SET DE 6 TAPAS DE SILICON PARA DUYAS,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896096142,SET DE DUYAS DE ESPECIALIDAD C/4,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896051073,SET DE UTENCILIOS,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
04-0-0051,SISTEMA EFICAZ DE COLORANTES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896172792,SPRINKLER CORAZON ROSA 30G,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896099822,SPRINKLER METALICOS,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
070896035240,SPRINKLER SURTIDO COLORES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
710-0-0493,SPRINKLES CACTUS MEZCLA GDE 10OZ,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
710-9978,SPRINKLES CONFETTI  ARCOIRIS 41GR,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
710-9975,SPRINKLES NONPAREILS JUMBO ROSA,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
0308,TARJETA DE REGALO,Accesorios,Otros postres,MISSING_IN_POINT,,,,False,,,,False,
