codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
7186/8,VELA METALICA No. 8 DORADO,Granmark,19,665,0,0,-19,-665,13,455,-6,-210,,VELA METALICA No. 8 DORADO
0179,Letrero Chispas Felicidades,Pillines,20,1700,13,1105,-7,-595,18,1530,-2,-170,Letrero Chispas Felicidades,Letrero Chispas Felicidades
CHEESETORTCH,,,0,0,1,590,1,590,0,0,0,0,Cheesecake Tortuga Chico,
CHEESETORTM,Cheesecake Tortuga M,Cheesecake,1,590,0,0,-1,-590,0,0,-1,-590,,
7186/0,VELA METALICA No. 0 DORADO,Granmark,15,525,0,0,-15,-525,17,595,2,70,,VELA METALICA No. 0 DORADO
7186/1R,VELA METALICA No. 1 ROSA,Granmark,15,525,0,0,-15,-525,6,210,-9,-315,,VELA METALICA No. 1 ROSA
7186/4,VELA METALICA No. 4 DORADO,Granmark,15,525,0,0,-15,-525,17,595,2,70,,VELA METALICA No. 4 DORADO
0320,EXTRA 100,Otros postres,5,500,0,0,-5,-500,2,200,-3,-300,,EXTRA 100
7186/9,VELA METALICA No. 9 DORADO,Granmark,14,490,0,0,-14,-490,10,350,-4,-140,,VELA METALICA No. 9 DORADO
5346,Pastel Arándano Mediano,Pastel Mediano,3,1440,4,1920,1,480,3,1440,0,0,Pastel de Arándano - Mediano,Pastel Arándano Mediano
0304,Servicio Domicilio 2,Otros postres,31,465,0,0,-31,-465,18,270,-13,-195,,Servicio Domicilio 2
7186/2R,VELA METALICA No. 2 ROSA,Granmark,13,455,0,0,-13,-455,6,210,-7,-245,,VELA METALICA No. 2 ROSA
7186/3,VELA METALICA No. 3 DORADO,Granmark,13,455,0,0,-13,-455,10,350,-3,-105,,VELA METALICA No. 3 DORADO
7186/7,VELA METALICA No. 7 DORADO,Granmark,13,455,0,0,-13,-455,14,490,1,35,,VELA METALICA No. 7 DORADO
0090,Pastel de Vainilla Mediano,Pastel Mediano,2,900,3,1350,1,450,3,1350,1,450,Pastel Vainilla - Mediano,Pastel de Vainilla Mediano
0106,Pastel de 3 Leches Rebanada,Rebanada,7,490,13,910,6,420,12,840,5,350,Pastel 3 Leches - Rebanada,Pastel de 3 Leches Rebanada
7186/3R,VELA METALICA No. 3 ROSA,Granmark,12,420,0,0,-12,-420,2,70,-10,-350,,VELA METALICA No. 3 ROSA
7186/5,VELA METALICA No. 5 DORADO,Granmark,12,420,0,0,-12,-420,16,560,4,140,,VELA METALICA No. 5 DORADO
CND000951,VELA SPAGUETI ROSA PERLADO,Alegría,7,420,0,0,-7,-420,6,360,-1,-60,,VELA SPAGUETI ROSA PERLADO
7186/4R,VELA METALICA No. 4 ROSA,Granmark,11,385,0,0,-11,-385,3,105,-8,-280,,VELA METALICA No. 4 ROSA
7186/6,VELA METALICA No. 6 DORADO,Granmark,10,350,0,0,-10,-350,4,140,-6,-210,,VELA METALICA No. 6 DORADO
CND00095,VELA ESPAGUETI COLORES,Alegría,13,338,0,0,-13,-338,9,234,-4,-104,,VELA ESPAGUETI COLORES
1849,Vaso con crema grande,Vasos Preparados Grande,5,325,0,0,-5,-325,0,0,-5,-325,,
0180,Letrero Chispas Feliz Cumpleaños,Pillines,31,2480,27,2160,-4,-320,11,880,-20,-1600,Letrero Chispas Feliz Cumpleaños,Letrero Chispas Feliz Cumpleaños
6792,Piñatero Chico,Pastel Chico,1,320,0,0,-1,-320,2,640,1,320,,Piñatero Chico
CND001097,VELA ESPIRAL ROSA MORADO AZUL BRILLOS,Alegría,9,315,0,0,-9,-315,10,350,1,35,,VELA ESPIRAL ROSA MORADO AZUL BRILLOS
CND000945,VELA NEGRO PERLADO 13 CM S/BASE,Alegría,4,300,0,0,-4,-300,4,300,0,0,,VELA NEGRO PERLADO 13 CM S/BASE
CND001092,VELA LISA LARGA VERDE PERLA C/BASE,Alegría,6,288,0,0,-6,-288,8,384,2,96,,VELA LISA LARGA VERDE PERLA C/BASE
05021,Bolitas de Nuez KG,Galletas,1,250,0,0,-1,-250,2,500,1,250,,Bolitas de Nuez KG
7186/8R,VELA METALICA No. 8 ROSA,Granmark,7,245,0,0,-7,-245,3,105,-4,-140,,VELA METALICA No. 8 ROSA
7186/00,VELA METALICA ? DORADO,Granmark,6,210,0,0,-6,-210,10,350,4,140,,VELA METALICA ? DORADO
7186/9R,VELA METALICA No. 9 ROSA,Granmark,6,210,0,0,-6,-210,6,210,0,0,,VELA METALICA No. 9 ROSA
3462,Piñatero Mini,Pastel Mini,31,5890,32,6080,1,190,19,3610,-12,-2280,Pastel Piñatero - Mini,Piñatero Mini
7186/6R,VELA METALICA No. 6 ROSA,Granmark,5,175,0,0,-5,-175,2,70,-3,-105,,VELA METALICA No. 6 ROSA
0303,Servicio Domicilio 1,Otros postres,6,150,0,0,-6,-150,3,75,-3,-75,,Servicio Domicilio 1
7186/7R,VELA METALICA No. 7 ROSA,Granmark,4,140,0,0,-4,-140,2,70,-2,-70,,VELA METALICA No. 7 ROSA
CND000943,VELA DORADA,Alegría,2,136,0,0,-2,-136,2,136,0,0,,VELA DORADA
1225,Empaque Pay,PLÁSTICOS,44,132,0,0,-44,-132,10,30,-34,-102,,Empaque Pay
7186/0R,VELA METALICA No. 0 ROSA,Granmark,3,105,0,0,-3,-105,0,0,-3,-105,,
7186/5R,VELA METALICA No. 5 ROSA,Granmark,3,105,0,0,-3,-105,6,210,3,105,,VELA METALICA No. 5 ROSA
10063,ADEREZO AGRIDULCE,Otros postres,1,97,0,0,-1,-97,1,97,0,0,,ADEREZO AGRIDULCE
1245,Empaque Pastel,PLÁSTICOS,30,90,0,0,-30,-90,20,60,-10,-30,,Empaque Pastel
875,VELA INDIVIDUAL,Alegría,18,90,0,0,-18,-90,3,15,-15,-75,,VELA INDIVIDUAL
0240,CAJA CH PARA VENTA,Industrias lec,5,75,0,0,-5,-75,8,120,3,45,,CAJA CH PARA VENTA
VHAZUL,VELA HUMO AZUL,Velas Sparklers,1,54,0,0,-1,-54,0,0,-1,-54,,
1421,ENCENDEDOR MINI BIC,Accesorios de repostería,2,48,0,0,-2,-48,0,0,-2,-48,,
84111506,CAFE STARBUCKS FRAPPUCINO,TE,1,43,0,0,-1,-43,0,0,-1,-43,,
803,CAJA BOLLO 1 PZ P7VENTA,Bollo,4,36,0,0,-4,-36,2,18,-2,-18,,CAJA BOLLO 1 PZ P7VENTA
0239,CAJA G PARA VENTA,Industrias lec,1,20,0,0,-1,-20,0,0,-1,-20,,
801,CAJA BOLLO 4 PZ P/VENTA,Bollo,1,13,0,0,-1,-13,0,0,-1,-13,,
0308,TARJETA DE REGALO,Otros postres,2,10,0,0,-2,-10,1,5,-1,-5,,TARJETA DE REGALO
0005,Pay de Plátano Grande,Pay Grande,6,2700,6,2700,0,0,5,2250,-1,-450,Pay de Plátano Grande,Pay de Plátano Grande
0006,Pay de Plátano Mediano,Pay Mediano,3,1050,3,1050,0,0,4,1400,1,350,Pay de Plátano Mediano,Pay de Plátano Mediano
005352,Pastel Piñatero Mediano,Pastel Mediano,2,900,2,900,0,0,0,0,-2,-900,Pastel Piñatero - Mediano,
0059,Pastel de Crunch Grande,Pastel Grande,11,7920,11,7920,0,0,7,5040,-4,-2880,Pastel Crunch - Grande,Pastel de Crunch Grande
0089,Pastel de Vainilla Grande,Pastel Grande,1,710,1,710,0,0,2,1420,1,710,Pastel Vainilla - Grande,Pastel de Vainilla Grande
01284,Litro crema,Vasos Preparados Grande,6,720,6,720,0,0,2,240,-4,-480,Litro crema,Litro crema
01CPFCC01,Cubeta de Crema Para Fresas,Otros postres,1,2177,1,2177,0,0,1,2177,0,0,Cubeta de Crema Para Fresas,Cubeta de Crema Para Fresas
03SPFREB,Sabor Fresa Rebanada Pay,Rebanada,748,0,422,0,-326,0,574,0,-174,0,Sabor Fresa Rebanada Pay,Sabor Fresa Rebanada Pay
03SPGCCREB,Sabor Galleta con Cajeta Rebanada,Rebanada,21,0,18,0,-3,0,21,0,0,0,Sabor Galleta con Cajeta Rebanada,Sabor Galleta con Cajeta Rebanada
03SPGREB,Sabor Guayaba Rebanada,Rebanada,93,0,50,0,-43,0,68,0,-25,0,Sabor Guayaba Rebanada,Sabor Guayaba Rebanada
1125,TOPPING ZANAHORIA G,Pastel Grande,8,0,0,0,-8,0,7,0,-1,0,,TOPPING ZANAHORIA G
1254,TOPPING CRUNCH MINI,Pastel Mini,129,0,0,0,-129,0,109,0,-20,0,,TOPPING ZANAHORIA C
1412,TOPPING SNICKER CH,Pastel Chico,100,0,0,0,-100,0,67,0,-33,0,,TOPPING SNICKER CH
21125,TOPPING CRUNCH M,Pastel Mediano,145,0,0,0,-145,0,136,0,-9,0,,TOPPING CRUNCH M
21245,TOPPING 3 LECHES,Pastel Mediano,139,0,0,0,-139,0,92,0,-47,0,,TOPPING 3 LECHES
21254,TOPPING SNICKER G,Pastel Grande,14,0,0,0,-14,0,16,0,2,0,,TOPPING SNICKER G
21445,TOPPING ZANAHORIA M,Pastel Mediano,144,0,0,0,-144,0,111,0,-33,0,,TOPPING ZANAHORIA M
214541,TOPPING CRUNCH C,Pastel Chico,103,0,0,0,-103,0,73,0,-30,0,,TOPPING CRUNCH C
21455,TOPPING CRUNCH G,Pastel Grande,9,0,0,0,-9,0,5,0,-4,0,,TOPPING CRUNCH G
22145,TOPPING SNICKER M,Pastel Mediano,175,0,0,0,-175,0,156,0,-19,0,,TOPPING SNICKER M
CHEESELOTUSMED,Cheesecakes Lotus M,Cheesecake,1,650,1,650,0,0,1,650,0,0,Cheesecakes Lotus M,Cheesecakes Lotus M
SANFRESAR,TOPPING FRESA REBANADA,Rebanada,76,0,0,0,-76,0,44,0,-32,0,,TOPPING FRESA REBANADA
SFRESAG,Sabor Fresa Grande Pay,Pay Grande,338,0,205,0,-133,0,270,0,-68,0,Sabor Fresa Grande Pay,Sabor Fresa Grande Pay
SFRESAM,Sabor Fresa Mediano Pay,Pay Mediano,330,0,194,0,-136,0,266,0,-64,0,Sabor Fresa Mediano Pay,Sabor Fresa Mediano Pay
SFRESAPC,TOPPING FRESA C,Pastel Chico,257,0,0,0,-257,0,199,0,-58,0,,TOPPING FRESA C
SFRESAPG,TOPPING FRESA G,Pastel Grande,54,0,0,0,-54,0,37,0,-17,0,,TOPPING FRESA G
SFRESAPM,TOPPING FRESA M,Pastel Mediano,519,0,0,0,-519,0,404,0,-115,0,,TOPPING FRESA M
SFRESAPMINI,TOPPING FRESA MINI,Pastel Mini,91,0,0,0,-91,0,64,0,-27,0,,TOPPING FRESA MINI
SGALLETACAJETAG,Sabor Galleta Cajeta Grande,Pay Grande,4,0,1,0,-3,0,2,0,-2,0,Sabor Galleta Cajeta Grande,Sabor Galleta Cajeta Grande
SGALLETACAJETAM,Sabor Galleta Cajeta Mediano,Pay Mediano,1,0,0,0,-1,0,1,0,0,0,,Sabor Galleta Cajeta Mediano
SGUAYABAG,Sabor Guayaba Grande,Pay Grande,24,0,20,0,-4,0,24,0,0,0,Sabor Guayaba Grande,Sabor Guayaba Grande
SGUAYABAM,Sabor Guayaba Mediano,Pay Mediano,28,0,13,0,-15,0,18,0,-10,0,Sabor Guayaba Mediano,Sabor Guayaba Mediano
