codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
0145,Vaso Fresas con Crema Chico,Vasos Preparados Grande,750,67500,0,0,-750,-67500,588,52920,-162,-14580,,Vaso Fresas con Crema Chico
0108,Pastel de 3 Pecados Mediano,Pastel Mediano,540,264551,660,323351,120,58800,423,207270,-117,-57281,Pastel 3 Pecados - Mediano,Pastel de 3 Pecados Mediano
0148,Vaso Fresas con Crema Grande,Vasos Preparados Grande,503,57845,0,0,-503,-57845,371,42665,-132,-15180,,Vaso Fresas con Crema Grande
0147,Vaso Fresas con Crema Mediano,Vasos Preparados Grande,437,45885,0,0,-437,-45885,366,38430,-71,-7455,,Vaso Fresas con Crema Mediano
0001,Pay de Queso Grande,Pay Grande,366,180185.056,454,223495.030000000,88,43309.974000000,296,145775.030000000,-70,-34410.026000000,Pay de Queso Grande,Pay de Queso Grande
0099,Pastel de Fresas Con Crema Grande,Pastel Grande,61,42700,525,75585,464,32885,41,28700,-20,-14000,Pastel Fresas Con Crema - Grande,Pastel de Fresas Con Crema Grande
0101,Pastel de Fresas Con Crema Chico,Pastel Chico,267,89445,896,121800,629,32355,210,70350,-57,-19095,Pastel Fresas Con Crema - Chico,Pastel de Fresas Con Crema Chico
0002,Pay de Queso Mediano,Pay Mediano,361,142154.733,439,172874.6700000000,78,30719.9370000000,289,113864.830000000,-72,-28289.903000000,Pay de Queso Mediano,Pay de Queso Mediano
0100,Pastel de Fresas Con Crema Mediano,Pastel Mediano,526,257642,828,236992,302,-20650,408,199822,-118,-57820,Pastel Fresas Con Crema - Mediano,Pastel de Fresas Con Crema Mediano
0169,Pirotecnia Alegría G,Alegría,576,20160,0,0,-576,-20160,451,15785,-125,-4375,,Pirotecnia Alegría G
0055,Pastel de Snickers Mediano,Pastel Mediano,183,91425,222,110875,39,19450,160,79850,-23,-11575,Pastel Snicker's - Mediano,Pastel de Snickers Mediano
0170,Pirotecnia Alegría Ch,Alegría,739,18475,0,0,-739,-18475,573,14325,-166,-4150,,Pirotecnia Alegría Ch
0060,Pastel de Crunch Mediano,Pastel Mediano,148,72520,182,89180,34,16660,134,65660,-14,-6860,Pastel Crunch - Mediano,Pastel de Crunch Mediano
CHCAKEINDLOTUS,Cheesecake Lotus Individual,Individual,102,13770,0,0,-102,-13770,92,12420,-10,-1350,,Cheesecake Lotus Individual
0065,Pastel de Zanahoria Mediano,Pastel Mediano,148,65054,179,78716,31,13662,111,48840,-37,-16214,Pastel Zanahoria - Mediano,Pastel de Zanahoria Mediano
0105,Pastel de 3 Leches Mediano,Pastel Mediano,162,70470,192,83520,30,13050,105,45675,-57,-24795,Pastel 3 Leches - Mediano,Pastel de 3 Leches Mediano
0003,Pay de Queso Rebanada,Rebanada,899,62860,1085,75880,186,13020,703,49210,-196,-13650,Pay de Queso Rebanada,Pay de Queso Rebanada
0066,Pastel de Zanahoria Chico,Pastel Chico,89,29370,247,41470,158,12100,85,28050,-4,-1320,Pastel Zanahoria - Chico,Pastel de Zanahoria Chico
CHEESETORTIND,Cheesecakes Tortuga Individual,Individual,94,11750,170,21900,76,10150,73,9125,-21,-2625,Cheesecakes Tortuga Individual,Cheesecakes Tortuga Individual
0110,Pastel de 3 Pecados R,Rebanada,220,15400,76,5320,-144,-10080,171,11970,-49,-3430,Pastel 3 Pecados - Rebanada,Pastel de 3 Pecados R
0056,Pastel de Snickers Chico,Pastel Chico,110,44000,131,52400,21,8400,76,30400,-34,-13600,Pastel Snicker's - Chico,Pastel de Snickers Chico
212451,,,0,0,36,8280,36,8280,0,0,0,0,Pastel 3 Leches Lotus - Mini,
0068,Pastel de Zanahoria R,Rebanada,162,10955,52,3580,-110,-7375,142,9385,-20,-1570,Pastel Zanahoria - Rebanada,Pastel de Zanahoria R
0109,Pastel de 3 Pecados Chico,Pastel Chico,277,94120.5,412,86890,135,-7230.5,234,79560,-43,-14560.5,Pastel 3 Pecados - Chico,Pastel de 3 Pecados Chico
0061,Pastel de Crunch Chico,Pastel Chico,112,40320,131,47160,19,6840,81,29160,-31,-11160,Pastel Crunch - Chico,Pastel de Crunch Chico
013LL,,,0,0,10,6800,10,6800,0,0,0,0,Pastel 3 Leches Lotus - Mediano,
8941,Pastel Lotus Mini,Pastel Mini,39,8970,10,2300,-29,-6670,27,6210,-12,-2760,Pastel Lotus - Mini,Pastel Lotus Mini
0103,Pastel de Fresas Con Crema R,Rebanada,95,6650,14,980,-81,-5670,48,3360,-47,-3290,Pastel Fresas Con Crema - Rebanada,Pastel de Fresas Con Crema R
3345,Pastel de 3 Leches Individual,Individual,358,26850,426,31950,68,5100,279,20925,-79,-5925,Pastel 3 Leches - Individual,Pastel de 3 Leches Individual
P3PMINI,Pastel 3 Pecados Mini,Pastel Mini,107,19795,131,24235,24,4440,93,17205,-14,-2590,Pastel 3 Pecados - Mini,Pastel 3 Pecados Mini
3489,Pastel Lotus Mediano,Pastel Mediano,10,6800,4,2720,-6,-4080,15,10200,5,3400,Pastel Lotus - Mediano,Pastel Lotus Mediano
01CHLI01,,,0,0,30,4050,30,4050,0,0,0,0,Cheesecakes Lotus Individual,
0054,Pastel de Snickers Grande,Pastel Grande,13,9750,18,13500,5,3750,14,10500,1,750,Pastel Snicker's - Grande,Pastel de Snickers Grande
5430,Pastel Lotus R,Rebanada,77,5225,95,8735,18,3510,71,4820,-6,-405,Pastel 3 Leches Lotus - Chico,Pastel Lotus R
0107,Pastel de 3 Pecados Grande,Pastel Grande,57,39900,62,43400,5,3500,41,28700,-16,-11200,Pastel 3 Pecados - Grande,Pastel de 3 Pecados Grande
1250,ESPAGUETI DORADA,Granmark,42,2856,0,0,-42,-2856,43,2924,1,68,,ESPAGUETI DORADA
PFCMINI,Pastel Fresas con Crema Mini,Pastel Mini,98,18130,171,20825,73,2695,72,13320,-26,-4810,Pastel Fresas Con Crema - Mini,Pastel Fresas con Crema Mini
0313,TE DEL JARDIN,TE,115,2300,3,60,-112,-2240,99,1980,-16,-320,TE DEL JARDIN,TE DEL JARDIN
0160,Bollo Lotus,Bollo,210,8151,268,10374,58,2223,179,6903,-31,-1248,Bollo Lotus,Bollo Lotus
0064,Pastel de Zanahoria Grande,Pastel Grande,10,7000,13,9100,3,2100,8,5600,-2,-1400,Pastel Zanahoria - Grande,Pastel de Zanahoria Grande
0116,Bollo Chocolate,Bollo,322,11592,380,13680,58,2088,257,9252,-65,-2340,Bollo Chocolate,Bollo Chocolate
CHCAKEINDROLLCANELA,Cheesecake Roll Canela Individual,Individual,73,9490,89,11570,16,2080,63,8190,-10,-1300,Cheesecake Roll Canela Individual,Cheesecake Roll Canela Individual
0118,Bollo Zanahoria,Bollo,281,7587,355,9585,74,1998,247,6669,-34,-918,Bollo Zanahoria,Bollo Zanahoria
0117,Bollo Vainilla,Bollo,254,8602,312,10574,58,1972,198,6732,-56,-1870,Pastel Vainilla - Bollo,Bollo Vainilla
6423,Pastel Lotus Chico,Pastel Chico,9,4005,5,2225,-4,-1780,15,6675,6,2670,Pastel Lotus - Chico,Pastel Lotus Chico
0119,Bollo Red Velvet,Bollo,251,7530,310,9300,59,1770,206,6180,-45,-1350,Bollo Red Velvet,Bollo Red Velvet
0058,Pastel de Snickers Rebanada,Rebanada,175,11830,200,13580,25,1750,121,8470,-54,-3360,Pastel Snicker's - Rebanada,Pastel de Snickers Rebanada
01GN01,Galleta Nutella,Galletas,235,7050,290,8700,55,1650,183,5490,-52,-1560,Galleta Nutella,Galleta Nutella
1251,ESPAGUETI ROSA PERLADO,Granmark,23,1564,0,0,-23,-1564,14,952,-9,-612,,ESPAGUETI ROSA PERLADO
5638,Galleta Lotus,Galletas,133,6354,164,7842,31,1488,102,4896,-31,-1458,Galleta Lotus,Galleta Lotus
7186/1,VELA METALICA No. 1 DORADO,Granmark,41,1435,0,0,-41,-1435,34,1190,-7,-245,,VELA METALICA No. 1 DORADO
CND000944,VELA PLATA,Alegría,22,1430,0,0,-22,-1430,29,1885,7,455,,VELA PLATA
0126,Galleta Red Velvet,Galletas,206,6096,253,7485,47,1389,159,4728,-47,-1368,Galleta Red Velvet Mejorada 2025,Galleta Red Velvet
01GCC01,Galleta Chispas Chocolate,Galletas,223,7088,260,8272,37,1184,167,5344,-56,-1744,Galleta de Chispas de Chocolate,Galleta Chispas Chocolate
01964,Pastel de Arándano Chico,Pastel Chico,22,8470,25,9625,3,1155,17,6545,-5,-1925,Pastel de Arándano - Chico,Pastel de Arándano Chico
COCA450,COCA-COLA 450 ML,Coca-cola,52,1122,0,0,-52,-1122,54,1188,2,66,,COCA-COLA 450 ML
CND000982,VELA BLANCA BASE BRILLOS DORADA,Alegría,19,1102,0,0,-19,-1102,14,812,-5,-290,,VELA BLANCA BASE BRILLOS DORADA
0135,Empanada de Manzana,Empanadas,494,4940,600,6000,106,1060,413,4130,-81,-810,Empanada de Manzana,Empanada de Manzana
0063,Pastel de Crunch R,Rebanada,122,8120,137,9170,15,1050,76,5320,-46,-2800,Pastel de Crunch R,Pastel de Crunch R
7186/2,VELA METALICA No. 2 DORADO,Granmark,27,945,0,0,-27,-945,22,770,-5,-175,,VELA METALICA No. 2 DORADO
PCRUNCHMINI,Pastel Crunch Mini,Pastel Mini,52,9620,57,10545,5,925,34,6290,-18,-3330,Pastel Crunch - Mini,Pastel Crunch Mini
0177,Letrero Chispas HB 1,Pillines,29,2320,18,1440,-11,-880,25,2000,-4,-320,Letrero Chispas HB 1,Letrero Chispas HB 1
01BLN01,Bolitas de Nuez 10 PZ,Galletas,82,1640,97,2400,15,760,56,1120,-26,-520,Bolitas de Nuez 10 PZ,Bolitas de Nuez 10 PZ
CND000980,VELA ROSA BRILLOS Y DORADA,Alegría,13,754,0,0,-13,-754,12,696,-1,-58,,VELA ROSA BRILLOS Y DORADA
CND000949,VELA ESPAGUETI NEGRO PERLADO,Alegría,10,750,0,0,-10,-750,8,600,-2,-150,,VELA ESPAGUETI NEGRO PERLADO
005353,Pastel Piñatero Grande,Pastel Grande,2,1420,3,2130,1,710,2,1420,0,0,Pastel Piñatero - Grande,Pastel Piñatero Grande
