codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
0145,Vaso Fresas con Crema Chico,Vasos Preparados Grande,750,67500,0,0,-750,-67500,1144,102960,394,35460,,Vaso Fresas con Crema Chico
0108,Pastel de 3 Pecados Mediano,Pastel Mediano,540,264551,660,323351,120,58800,848,415520,308,150969,Pastel 3 Pecados - Mediano,Pastel de 3 Pecados Mediano
0148,Vaso Fresas con Crema Grande,Vasos Preparados Grande,503,57845,0,0,-503,-57845,795,91425,292,33580,,Vaso Fresas con Crema Grande
0147,Vaso Fresas con Crema Mediano,Vasos Preparados Grande,437,45885,0,0,-437,-45885,663,69615,226,23730,,Vaso Fresas con Crema Mediano
0001,Pay de Queso Grande,Pay Grande,366,180185.056,454,223495.030000000,88,43309.974000000,587,289110.080000000,221,108925.024000000,Pay de Queso Grande,Pay de Queso Grande
0099,Pastel de Fresas Con Crema Grande,Pastel Grande,61,42700,525,75585,464,32885,88,61600,27,18900,Pastel Fresas Con Crema - Grande,Pastel de Fresas Con Crema Grande
0101,Pastel de Fresas Con Crema Chico,Pastel Chico,267,89445,896,121800,629,32355,419,140365,152,50920,Pastel Fresas Con Crema - Chico,Pastel de Fresas Con Crema Chico
0002,Pay de Queso Mediano,Pay Mediano,361,142154.733,439,172874.6700000000,78,30719.9370000000,569,224059.560000000,208,81904.827000000,Pay de Queso Mediano,Pay de Queso Mediano
0100,Pastel de Fresas Con Crema Mediano,Pastel Mediano,526,257642,828,236992,302,-20650,808,395822,282,138180,Pastel Fresas Con Crema - Mediano,Pastel de Fresas Con Crema Mediano
0169,Pirotecnia Alegría G,Alegría,576,20160,0,0,-576,-20160,895,31325,319,11165,,Pirotecnia Alegría G
0055,Pastel de Snickers Mediano,Pastel Mediano,183,91425,222,110875,39,19450,279,139350,96,47925,Pastel Snicker's - Mediano,Pastel de Snickers Mediano
0170,Pirotecnia Alegría Ch,Alegría,739,18475,0,0,-739,-18475,1150,28750,411,10275,,Pirotecnia Alegría Ch
0060,Pastel de Crunch Mediano,Pastel Mediano,148,72520,182,89180,34,16660,240,117600,92,45080,Pastel Crunch - Mediano,Pastel de Crunch Mediano
CHCAKEINDLOTUS,Cheesecake Lotus Individual,Individual,102,13770,0,0,-102,-13770,159,21465,57,7695,,Cheesecake Lotus Individual
0065,Pastel de Zanahoria Mediano,Pastel Mediano,148,65054,179,78716,31,13662,239,105072,91,40018,Pastel Zanahoria - Mediano,Pastel de Zanahoria Mediano
0105,Pastel de 3 Leches Mediano,Pastel Mediano,162,70470,192,83520,30,13050,247,107445,85,36975,Pastel 3 Leches - Mediano,Pastel de 3 Leches Mediano
0003,Pay de Queso Rebanada,Rebanada,899,62860,1085,75880,186,13020,1384,96740,485,33880,Pay de Queso Rebanada,Pay de Queso Rebanada
0066,Pastel de Zanahoria Chico,Pastel Chico,89,29370,247,41470,158,12100,150,49500,61,20130,Pastel Zanahoria - Chico,Pastel de Zanahoria Chico
CHEESETORTIND,Cheesecakes Tortuga Individual,Individual,94,11750,170,21900,76,10150,139,17375,45,5625,Cheesecakes Tortuga Individual,Cheesecakes Tortuga Individual
0110,Pastel de 3 Pecados R,Rebanada,220,15400,76,5320,-144,-10080,335,23450,115,8050,Pastel 3 Pecados - Rebanada,Pastel de 3 Pecados R
0056,Pastel de Snickers Chico,Pastel Chico,110,44000,131,52400,21,8400,180,72000,70,28000,Pastel Snicker's - Chico,Pastel de Snickers Chico
212451,,,0,0,36,8280,36,8280,0,0,0,0,Pastel 3 Leches Lotus - Mini,
0068,Pastel de Zanahoria R,Rebanada,162,10955,52,3580,-110,-7375,261,17575,99,6620,Pastel Zanahoria - Rebanada,Pastel de Zanahoria R
0109,Pastel de 3 Pecados Chico,Pastel Chico,277,94120.5,412,86890,135,-7230.5,430,146081,153,51960.5,Pastel 3 Pecados - Chico,Pastel de 3 Pecados Chico
0061,Pastel de Crunch Chico,Pastel Chico,112,40320,131,47160,19,6840,174,62640,62,22320,Pastel Crunch - Chico,Pastel de Crunch Chico
013LL,,,0,0,10,6800,10,6800,0,0,0,0,Pastel 3 Leches Lotus - Mediano,
8941,Pastel Lotus Mini,Pastel Mini,39,8970,10,2300,-29,-6670,53,12190,14,3220,Pastel Lotus - Mini,Pastel Lotus Mini
0103,Pastel de Fresas Con Crema R,Rebanada,95,6650,14,980,-81,-5670,143,10010,48,3360,Pastel Fresas Con Crema - Rebanada,Pastel de Fresas Con Crema R
3345,Pastel de 3 Leches Individual,Individual,358,26850,426,31950,68,5100,523,39225,165,12375,Pastel 3 Leches - Individual,Pastel de 3 Leches Individual
