codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
0145,Vaso Fresas con Crema Chico,Vasos Preparados Grande,42,3780,0,0,-42,-3780,42,3780,0,0,,Vaso Fresas con Crema Chico
0147,Vaso Fresas con Crema Mediano,Vasos Preparados Grande,21,2205,0,0,-21,-2205,21,2205,0,0,,Vaso Fresas con Crema Mediano
0148,Vaso Fresas con Crema Grande,Vasos Preparados Grande,15,1725,0,0,-15,-1725,15,1725,0,0,,Vaso Fresas con Crema Grande
0170,Pirotecnia Alegría Ch,Alegría,41,1025,0,0,-41,-1025,41,1025,0,0,,Pirotecnia Alegría Ch
0169,Pirotecnia Alegría G,Alegría,23,805,0,0,-23,-805,23,805,0,0,,Pirotecnia Alegría G
01CHLI01,,,0,0,3,405,3,405,0,0,0,0,Cheesecakes Lotus Individual,
CHCAKEINDLOTUS,Cheesecake Lotus Individual,Individual,3,405,0,0,-3,-405,3,405,0,0,,Cheesecake Lotus Individual
0313,TE DEL JARDIN,TE,9,180,0,0,-9,-180,9,180,0,0,,TE DEL JARDIN
COCA450,COCA-COLA 450 ML,Coca-cola,5,110,0,0,-5,-110,5,110,0,0,,COCA-COLA 450 ML
7186/1,VELA METALICA No. 1 DORADO,Granmark,2,70,0,0,-2,-70,2,70,0,0,,VELA METALICA No. 1 DORADO
7186/8,VELA METALICA No. 8 DORADO,Granmark,2,70,0,0,-2,-70,2,70,0,0,,VELA METALICA No. 8 DORADO
7186/9,VELA METALICA No. 9 DORADO,Granmark,2,70,0,0,-2,-70,2,70,0,0,,VELA METALICA No. 9 DORADO
1250,ESPAGUETI DORADA,Granmark,1,68,0,0,-1,-68,1,68,0,0,,ESPAGUETI DORADA
1251,ESPAGUETI ROSA PERLADO,Granmark,1,68,0,0,-1,-68,1,68,0,0,,ESPAGUETI ROSA PERLADO
CND000951,VELA SPAGUETI ROSA PERLADO,Alegría,1,60,0,0,-1,-60,1,60,0,0,,VELA SPAGUETI ROSA PERLADO
7186/0,VELA METALICA No. 0 DORADO,Granmark,1,35,0,0,-1,-35,1,35,0,0,,VELA METALICA No. 0 DORADO
7186/1R,VELA METALICA No. 1 ROSA,Granmark,1,35,0,0,-1,-35,1,35,0,0,,VELA METALICA No. 1 ROSA
7186/3,VELA METALICA No. 3 DORADO,Granmark,1,35,0,0,-1,-35,1,35,0,0,,VELA METALICA No. 3 DORADO
7186/6R,VELA METALICA No. 6 ROSA,Granmark,1,35,0,0,-1,-35,1,35,0,0,,VELA METALICA No. 6 ROSA
0303,Servicio Domicilio 1,Otros postres,1,25,0,0,-1,-25,1,25,0,0,,Servicio Domicilio 1
0308,TARJETA DE REGALO,Otros postres,1,5,0,0,-1,-5,1,5,0,0,,TARJETA DE REGALO
0001,Pay de Queso Grande,Pay Grande,18,8860,18,8860,0,0,18,8860,0,0,Pay de Queso Grande,Pay de Queso Grande
0002,Pay de Queso Mediano,Pay Mediano,15,5925,15,5925,0,0,15,5925,0,0,Pay de Queso Mediano,Pay de Queso Mediano
0003,Pay de Queso Rebanada,Rebanada,51,3570,51,3570,0,0,51,3570,0,0,Pay de Queso Rebanada,Pay de Queso Rebanada
0055,Pastel de Snickers Mediano,Pastel Mediano,11,5500,11,5500,0,0,11,5500,0,0,Pastel Snicker's - Mediano,Pastel de Snickers Mediano
0056,Pastel de Snickers Chico,Pastel Chico,3,1200,3,1200,0,0,3,1200,0,0,Pastel Snicker's - Chico,Pastel de Snickers Chico
0058,Pastel de Snickers Rebanada,Rebanada,7,490,7,490,0,0,7,490,0,0,Pastel Snicker's - Rebanada,Pastel de Snickers Rebanada
0059,Pastel de Crunch Grande,Pastel Grande,1,720,1,720,0,0,1,720,0,0,Pastel Crunch - Grande,Pastel de Crunch Grande
0060,Pastel de Crunch Mediano,Pastel Mediano,8,3920,8,3920,0,0,8,3920,0,0,Pastel Crunch - Mediano,Pastel de Crunch Mediano
0061,Pastel de Crunch Chico,Pastel Chico,4,1440,4,1440,0,0,4,1440,0,0,Pastel Crunch - Chico,Pastel de Crunch Chico
0063,Pastel de Crunch R,Rebanada,5,350,5,350,0,0,5,350,0,0,Pastel de Crunch R,Pastel de Crunch R
0065,Pastel de Zanahoria Mediano,Pastel Mediano,7,3058,7,3058,0,0,7,3058,0,0,Pastel Zanahoria - Mediano,Pastel de Zanahoria Mediano
0066,Pastel de Zanahoria Chico,Pastel Chico,3,990,3,990,0,0,3,990,0,0,Pastel Zanahoria - Chico,Pastel de Zanahoria Chico
0068,Pastel de Zanahoria R,Rebanada,11,770,11,770,0,0,11,770,0,0,Pastel Zanahoria - Rebanada,Pastel de Zanahoria R
0099,Pastel de Fresas Con Crema Grande,Pastel Grande,4,2800,4,2800,0,0,4,2800,0,0,Pastel Fresas Con Crema - Grande,Pastel de Fresas Con Crema Grande
0100,Pastel de Fresas Con Crema Mediano,Pastel Mediano,23,11270,23,11270,0,0,23,11270,0,0,Pastel Fresas Con Crema - Mediano,Pastel de Fresas Con Crema Mediano
0101,Pastel de Fresas Con Crema Chico,Pastel Chico,15,5025,15,5025,0,0,15,5025,0,0,Pastel Fresas Con Crema - Chico,Pastel de Fresas Con Crema Chico
0103,Pastel de Fresas Con Crema R,Rebanada,4,280,4,280,0,0,4,280,0,0,Pastel Fresas Con Crema - Rebanada,Pastel de Fresas Con Crema R
0105,Pastel de 3 Leches Mediano,Pastel Mediano,5,2175,5,2175,0,0,5,2175,0,0,Pastel 3 Leches - Mediano,Pastel de 3 Leches Mediano
0107,Pastel de 3 Pecados Grande,Pastel Grande,5,3500,5,3500,0,0,5,3500,0,0,Pastel 3 Pecados - Grande,Pastel de 3 Pecados Grande
0108,Pastel de 3 Pecados Mediano,Pastel Mediano,27,13230,27,13230,0,0,27,13230,0,0,Pastel 3 Pecados - Mediano,Pastel de 3 Pecados Mediano
0109,Pastel de 3 Pecados Chico,Pastel Chico,12,4080,12,4080,0,0,12,4080,0,0,Pastel 3 Pecados - Chico,Pastel de 3 Pecados Chico
